player_name,pitch_type,release_speed,release_pos_x,release_pos_z,pitcher,pfx_x,pfx_z,release_spin_rate,release_extension
"Gallegos, Giovanny",SL,83.57208121827412,-1.7696954314720812,6.729644670050761,606149.0,0.8899492385786801,2.1325888324873095,2282.8883248730963,5.730964467005077
"Gallen, Zac",CH,86.64444444444445,-2.978831908831909,5.767891737891738,668678.0,-11.831111111111111,5.026324786324786,1532.868945868946,6.52991452991453
"Gallen, Zac",FC,90.33636363636363,-2.856883116883117,5.855844155844156,668678.0,3.4815584415584415,9.42077922077922,2394.12987012987,6.492207792207792
"Gallen, Zac",FF,93.69345391903532,-2.7578208440999137,5.917123169681309,668678.0,-4.671834625322997,16.937881136950907,2291.1223083548666,6.642377260981912
"Gallen, Zac",KC,80.99323741007194,-2.889294964028777,5.8344316546762585,668678.0,4.8041438848920865,-11.131683453237411,2419.1971223021583,6.538848920863309
"Gallen, Zac",SI,94.66666666666667,-3.02,5.913333333333333,668678.0,-10.799999999999999,20.720000000000002,2377.0,6.733333333333333
"Gallen, Zac",SL,86.94794520547944,-2.8982648401826485,5.778721461187215,668678.0,5.398904109589041,2.9797260273972603,2449.8858447488583,6.629223744292237
"Garabito, Gerson",CH,86.59298245614035,-2.1219298245614038,5.7459649122807015,642520.0,-14.44842105263158,7.623157894736842,1869.5087719298247,6.559649122807017
"Garabito, Gerson",CU,82.08622754491017,-2.3252694610778444,5.6715568862275445,642520.0,12.476407185628743,-2.4934131736526943,2611.934131736527,6.591616766467066
"Garabito, Gerson",FF,93.34715025906736,-2.1768393782383417,5.772383419689119,642520.0,-5.473367875647668,16.295129533678757,2388.6891191709847,6.701554404145078
"Garabito, Gerson",SI,92.10196078431372,-2.153137254901961,5.70392156862745,642520.0,-14.68,8.261176470588236,2301.607843137255,6.729411764705882
"Garabito, Gerson",SL,88.74583333333334,-2.1704166666666667,5.8425,642520.0,3.4,5.72,2495.9166666666665,6.633333333333333
"Garcia, Robert",CH,87.72949152542373,3.857593220338983,5.522745762711865,676395.0,14.84908474576271,2.1067118644067797,1679.9625850340135,6.470847457627119
"Garcia, Robert",FF,94.45,3.7121,5.61048,676395.0,10.58712,13.62696,2226.240480961924,6.6486
"Garcia, Robert",SL,85.53178807947019,3.5958278145695366,5.65112582781457,676395.0,-5.038410596026489,1.6641059602649007,2324.0,6.7781456953642385
"García, Deivi",CH,85.30285714285714,-1.7685714285714285,5.453714285714286,665620.0,-14.616,10.169142857142857,2145.8,6.585714285714285
"García, Deivi",CU,77.48222222222222,-1.4022222222222223,5.954444444444444,665620.0,5.311999999999999,-17.232,2741.733333333333,6.306666666666667
"García, Deivi",FF,95.05253164556962,-1.9339873417721518,5.279303797468354,665620.0,-10.004050632911394,17.258734177215192,2256.4367088607596,6.514556962025316
"García, Deivi",ST,79.83111111111111,-2.052222222222222,5.490222222222222,665620.0,16.895999999999997,-4.992,2890.5333333333333,6.24
"García, Luis",FC,88.17333333333333,-2.3946666666666667,6.174,472610.0,2.584,2.536,2275.5333333333333,6.7733333333333325
"García, Luis",FF,96.0851851851852,-2.3214814814814813,6.276666666666666,472610.0,-5.828888888888889,14.415555555555557,2189.6666666666665,6.6648148148148145
"García, Luis",FS,87.1065868263473,-2.2150898203592817,6.292395209580838,472610.0,-9.432574850299401,4.764790419161677,1368.8502994011976,6.727544910179641
"García, Luis",PO,92.2,-2.21,6.33,472610.0,-6.959999999999999,15.72,2102.0,6.6
"García, Luis",SI,96.43460721868365,-2.2246496815286623,6.318428874734607,472610.0,-13.915668789808917,10.93656050955414,2165.2531914893616,6.735244161358811
"García, Luis",SL,82.81531531531532,-2.3536036036036037,6.204594594594595,472610.0,7.6000000000000005,-0.03135135135135139,2334.747747747748,6.702702702702703
"García, Luis",ST,80.80759493670887,-2.4873417721518987,6.174050632911392,472610.0,13.37012658227848,2.951392405063291,2396.0886075949365,6.622784810126583
"García, Yimi",CH,88.74406779661017,-2.5677966101694913,5.251694915254237,554340.0,-18.12813559322034,4.649491525423729,2072.0508474576272,5.842372881355932
"García, Yimi",CU,84.26967213114754,-2.7695081967213113,5.19844262295082,554340.0,10.962295081967214,-1.2659016393442624,2837.967213114754,5.794262295081967
"García, Yimi",FF,96.47929515418502,-2.4959030837004406,5.142819383259912,554340.0,-10.377092511013215,15.01057268722467,2593.2555066079294,5.858590308370045
"García, Yimi",SI,95.78529411764707,-2.5050980392156865,5.193137254901961,554340.0,-18.060000000000002,6.936470588235294,2358.9607843137255,5.920588235294117
"García, Yimi",SL,88.375,-2.6371428571428575,5.2057142857142855,554340.0,2.802857142857143,8.515714285714285,2585.0714285714284,5.757142857142857
"García, Yimi",ST,86.27160493827161,-2.6276543209876544,5.152345679012346,554340.0,11.927407407407408,8.543703703703704,2699.320987654321,5.867901234567902
"Garrett, Amir",FF,95.55000000000001,1.7877777777777777,6.210555555555556,607237.0,8.97,15.84,2142.25,6.586111111111111
"Garrett, Amir",SI,94.95,2.06,5.984999999999999,607237.0,14.7,13.5,2095.0,6.65
"Garrett, Amir",SL,85.0590909090909,2.061212121212121,5.930909090909091,607237.0,-3.003636363636364,3.590909090909091,1831.590909090909,6.433333333333334
"Garrett, Braxton",CH,83.07397260273972,2.9747945205479454,5.714109589041096,666129.0,14.89972602739726,0.036164383561643816,1407.4657534246576,6.661643835616439
"Garrett, Braxton",CU,77.36923076923077,2.491153846153846,5.938076923076922,666129.0,-11.044615384615385,-8.727692307692308,2200.3076923076924,6.476923076923077
"Garrett, Braxton",FC,86.36296296296297,2.5018518518518515,5.9181481481481475,666129.0,-2.6199999999999997,1.7111111111111112,2356.5,6.716666666666667
"Garrett, Braxton",FF,90.69518072289156,2.6249397590361445,5.827951807228916,666129.0,6.508915662650603,14.972530120481927,2238.2168674698796,6.814457831325302
"Garrett, Braxton",SI,89.98928571428573,2.821836734693878,5.773265306122449,666129.0,16.14673469387755,7.391020408163266,2059.25,6.783163265306122
"Garrett, Braxton",SL,82.82179487179488,2.5841025641025643,5.862628205128205,666129.0,-9.952307692307691,-2.315384615384615,2328.1153846153848,6.672435897435898
"Garrett, Reed",FC,91.61939655172414,-2.1959482758620688,5.555258620689655,657585.0,3.3512068965517243,7.203103448275861,2464.12,6.204444444444444
"Garrett, Reed",FF,96.76975308641975,-1.9753703703703702,5.695432098765432,657585.0,-8.592592592592593,16.49555555555556,2340.478260869565,6.244099378881987
"Garrett, Reed",FS,88.23609022556391,-2.123421052631579,5.633233082706767,657585.0,-11.681503759398497,1.8351879699248121,1541.7490347490348,6.28030888030888
"Garrett, Reed",SI,96.3904,-2.0876,5.587359999999999,657585.0,-16.3584,9.26688,2267.641025641026,6.258974358974359
"Garrett, Reed",ST,85.01948717948717,-2.328,5.5049230769230775,657585.0,14.08,1.7015384615384617,2764.0157068062827,6.203141361256544
"Gasser, Robert",CH,87.9017543859649,2.312982456140351,4.953333333333333,688107.0,18.027368421052632,2.7810526315789477,1984.561403508772,6.717543859649123
"Gasser, Robert",FC,88.42162162162163,2.2545945945945944,4.964594594594595,688107.0,-1.1902702702702703,6.758918918918919,2430.2972972972975,6.7
"Gasser, Robert",FF,93.30506329113925,2.150886075949367,5.052784810126583,688107.0,8.746329113924052,13.26227848101266,2183.1645569620255,6.672151898734177
"Gasser, Robert",SI,92.50408163265305,2.2342857142857144,4.886734693877551,688107.0,15.73591836734694,7.774285714285714,2044.938775510204,6.728571428571429
"Gasser, Robert",ST,80.64453125,2.190703125,4.951328125,688107.0,-15.2475,5.2040625,2496.9375,6.703125
"Gausman, Kevin",FF,93.94653007270324,-2.476543291473893,5.731222736285526,592332.0,-10.787547918043622,16.950852610707205,2286.9035029742236,6.603108465608465
